#separator:tab
#html:false
der Kuchen	пирог
der Kaffee	кофе
der Saft	сок
das Brötchen	булочка
das Würstchen	сосиска
die Tomate	помидор
die Kiwi	киви
auf Deutsch	по-немецки
der Einkaufswagen	тележка для покупок
die Kartoffel	картошка
der Joghurt	йогурт
die Zwiebel	лук
das Suchbild	картинка для поиска
das Regal	полка
anders	по-другому
finden	находить
der Unterschied	разница
oft	часто
der Preis	цена
die Mengenangabe	указание количества
dreißig	тридцать
sechzig	шестьдесят
fünfzig	пятьдесят
vierzig	сорок
siebzig	семьдесят
hundert	сто
achtzig	восемьдесят
neunzig	девяносто
der Prospekt	проспект
das Sonderangebot	спецпредложение
die Lebensmittelabteilung	отдел продуктов
das Lebensmittel	продукт
die Abteilung	отдел
das Hackfleisch	фарш
die Wurst	колбаса
kosten	стоить
das Gramm	грамм
das Kilo	килограмм
das Pfund	фунт
der Liter	литр
die Flasche	бутылка
die Packung	упаковка
die Dose	банка
der Becher	стакан
die Sahne	сливки
wie viel	сколько
kochen	готовить
auf	на
der Markt	рынок
der Verkäufer	продавец
die Verkäuferin	продавщица
der Kunde	клиент
die Kundin	клиентка
gern	охотно
Das ist alles.	Это всё
all-	всё
das Rollenspiel	ролевая игра
die Rolle	роль
Bitte schön?	Пожалуйста?
der Spinat	шпинат
der Lauch	лук-порей
der Speck	бекон
der Obstladen	фруктовый магазин
das Obst	фрукты
der Laden	магазин
der Gemüseladen	овощной магазин
das Gemüse	овощи
die Bäckerei	пекарня
die Fleischtheke	мясной отдел
die Teigtasche	пельмень
der Teig	тесто
die Tasche	сумка
das Rezept	рецепт
die Maultasche	маульташен
das Wasser	вода
schwäbisch	швабский
die Kategorie	категория
die Füllung	начинка
weiter	дальше
der Pfeffer	перец
der Muskat	мускат
der Majoran	майоран
Original-	оригинальный
nur	только
lieben	любить
der Schmand	сметана
die Petersilie	петрушка
der Knoblauch	чеснок
wenig	мало
ein wenig	немного
Georgien	Грузия
die Ja-/Nein-Frage	вопрос да/нет
der indefinite Artikel	неопределённый артикль
der Negativartikel	отрицательный артикль
der Artikel	артикль
das Nomen	существительное
der Singular	единственное число
der Plural	множественное число
nie	никогда
nachfragen	переспрашивать
denn	ведь
Sonst noch etwas?	Что-нибудь ещё?
sonst	иначе
die Gemüsesorte	вид овоща
die Obstsorte	вид фрукта
nennen	называть
einfach	просто
das Lebensmittel-Alphabet	алфавит продуктов
die Aprikose	абрикос
der Kartoffelsalat	картофельный салат
die Salatgurke	огурец
sauer	кислый
die Gurke	огурец
der Bund	пучок
die Frühlingszwiebel	зеленый лук
die Knoblauchzehe	зубчик чеснока
das Glas	стакан
die Mayonnaise	майонез
der Essig	уксус
das Gericht	блюдо
die Tortilla	тортилья
das Olivenöl	оливковое масло
nun	теперь
das Kurs-Kochbuch	кулинарная книга курса
der/das Comic	комикс
die Cola	кола
der Orangensaft	апельсиновый сок
der Durst	жажда
die Geschichte	история
das Käsebrötchen	булочка с сыром
das Wurstbrötchen	булочка с колбасой
das Fischbrötchen	булочка с рыбой
der Wortakzent	ударение в слове
lang	длинный
kurz	короткий
festkochend	неразваривающийся
Südtirol	Южный Тироль
die Lösung	решение
der Tomatensaft	томатный сок
der Schokoladenpfannkuchen	шоколадный блин
die Semmel	булочка
das Rundstück	булочка
der Wecken	булочка
der Hering	селёдка
die Schrippe	булочка
der Apfelkuchen	яблочный пирог
die Sprachschule	языковая школа
die Rezept-Idee	идея рецепта
der Supermarkt	супермаркет
kühl	прохладный
trocken	сухой
lagern	хранить
dunkel	тёмный
mindestens	минимум
haltbar	годный
bis	до
die Produktinformation	информация о продукте
das Fett	жир
die Apfelschorle	яблочный напиток
Zutaten	ингредиенты
der Bio-Joghurt	био-йогурт
das Komma	запятая
das Prozent	процент
die Edelbitter-Schokolade	горький шоколад
der Kakao	какао
die Vanille	ваниль
die Vollmilchschokolade	молочный шоколад
das Internet	интернет
bestellen	заказывать
das Getränk	напиток
die Kantine	столовая
das Online-Formular	онлайн-форма
still	без газа
classic	классический
der Kasten	ящик
das Weißbier	пшеничное пиво
der Online-Getränkemarkt	онлайн-магазин напитков
eingeben	вводить
bezahlen	оплачивать
die Bestellung	заказ
prüfen	проверять
die Lieferadresse	адрес доставки
die Rechnungsadresse	адрес для счета
die Zahlungsart	способ оплаты
die Rechnung	счет
das Produkt	продукт
die Menge	количество
der Gesamtpreis	общая цена
zuzüglich	плюс
die Mehrwertsteuer	НДС
die Kreditkarte	кредитная карта
die Wohnung	квартира
Ach so!	Ах так!
die Lampe	лампа
das Zimmer	комната
die Küche	кухня
das Bad	ванная
neu	новый
groß	большой
klein	маленький
hell	светлый
teuer	дорогой
billig	дешёвый
hässlich	некрасивый
dort	там
die Traumwohnung	квартира мечты
das Schlafzimmer	спальня
der Flur	коридор
